full_name,group,language,size_kb,cc_mean,cc_max,nloc_total,n_functions,duplication_pct,test_file_ratio,cbo_mean,lcom_mean,dit_mean,wmc_mean
Proyecto-final-P2/Proyecto-Gestion-Eventos,academico,Java,328,1.9537712895377128,19.0,4390.0,411,11.345646437994723,0.1818181818181818,2.356164383561644,12.32876712328767,2.1232876712328768,11.0
IgorGustavoZ/TCC_Diartrip_Cotil,academico,Python,17181,2.127551020408163,18.0,6781.0,588,6.126667312598908,0.25,,,,
houddani/Misiotronica,academico,JavaScript,36493,1.368421052631579,3.0,346.0,19,0.431569026241381,0.1176470588235294,,,,
VitorYuji25/Proejto_TCC_VitorMatsushita_UFU,academico,Python,51773,3.235294117647059,11.0,686.0,34,1.3386045221251217,0.0,,,,
marodrigues412/ampara-tcc,academico,JavaScript,66316,2.8435114503816794,42.0,3605.0,262,1.958080529509101,0.0,,,,
hugorsgarcia/gbemulator,academico,Java,1795,3.887733887733888,275.0,5605.0,481,3.341812121743707,0.0,2.627450980392157,95.33333333333331,1.411764705882353,43.11764705882353
danilo562/BootCamp_ColaboraAi,academico,Java,273,1.4364640883977902,17.0,998.0,181,46.33278250921571,0.1228070175438596,4.239130434782608,19.847826086956523,1.0,5.695652173913044
abrahamchang/trabajo-de-grado-2019,academico,JavaScript,3421,2.562874251497006,41.0,4096.0,501,20.215820674323822,0.0,,,,
RaccoonTechnologyManagement/RaccoonTechnologyManagement,academico,JavaScript,1648,1.8584269662921349,18.0,6937.0,445,15.223194748358862,0.0,,,,
spereyra-spec2/Proyecto-Final-Integrador-IDS,academico,Python,29746,4.257352941176471,22.0,4369.0,272,7.946715663757464,0.0,,,,
NicovrauG/TCC,academico,Python,10699,4.5,40.0,612.0,28,0.778642936596218,0.0,,,,
Arthurferrera/crypto-exchange-desktop,academico,Java,30826,1.7297297297297298,10.0,1487.0,111,15.628637951105937,0.0,1.2765957446808511,3.617021276595745,1.851063829787234,4.085106382978723
wendreof/tcc,academico,Java,22507,1.7407407407407407,6.0,173.0,27,15.447897623400369,0.0,2.875,4.25,1.375,5.75
FranciscoCou077/Proyecto-EDAII-Backend,academico,Python,1138,2.7524752475247523,15.0,1010.0,101,9.041468388851122,0.081081081081081,,,,
jlucassr/TCC-Barry-Snow,academico,Python,29201,1.4,3.0,19.0,5,3.488372093023256,0.0,,,,
danielbulacio/Proyecto-TP-Final-INTRO,academico,JavaScript,7891,2.6866666666666665,19.0,1858.0,150,9.496604505766951,0.0,,,,
claudiomlarrea/SAVT,academico,Python,1707,8.326403326403327,77.0,12468.0,481,0.945588155832928,0.0,,,,
