full_name,group,ncloc,n_satd,satd_per_kloc
Proyecto-final-P2/Proyecto-Gestion-Eventos,academico,5072.0,2,0.3943217665615142
houddani/Misiotronica,academico,1076.0,0,0.0
VitorYuji25/Proejto_TCC_VitorMatsushita_UFU,academico,1030.0,0,0.0
hugorsgarcia/gbemulator,academico,6797.0,0,0.0
danilo562/BootCamp_ColaboraAi,academico,3252.0,3,0.922509225092251
abrahamchang/trabajo-de-grado-2019,academico,4212.0,0,0.0
NicovrauG/TCC,academico,1306.0,0,0.0
spereyra-spec2/Proyecto-Final-Integrador-IDS,academico,7383.0,0,0.0
Arthurferrera/crypto-exchange-desktop,academico,1793.0,15,8.365867261572783
FranciscoCou077/Proyecto-EDAII-Backend,academico,1368.0,0,0.0
claudiomlarrea/SAVT,academico,14757.0,7,0.4743511553838856
wendreof/tcc,academico,1057.0,0,0.0
jlucassr/TCC-Barry-Snow,academico,423.0,0,0.0
NICXONP/ProyectoIntegrador4SEM,academico,5860.0,2,0.341296928327645
odilonferreira/testrunner,academico,1685.0,0,0.0
jpsanchezg/trabajo_de_grado_encryptai,academico,844.0,1,1.1848341232227488
Hicaro-Bauer/PROJETO_MAONARODA,academico,5841.0,24,4.108885464817668
Ctrl-Angelus/AbyssBound,academico,1330.0,0,0.0
XxAlexplosivoxX/Proyecto-PAP,academico,737.0,2,2.7137042062415198
ChrisX4Ever/ProyectoFinalTIC4,academico,122.0,0,0.0
Wandersonelias/skillbuscarimoveis,academico,353.0,0,0.0
Autumn64/conexion-uvm,academico,1228.0,0,0.0
beavct/mac0499-tcc,academico,1726.0,1,0.5793742757821553
tiagofabian/springboot-sa-ha1,academico,3221.0,0,0.0
monick96/BACKEND-HUNTECH,academico,3079.0,7,2.2734654108476775
SaTsSo/SC-303_Cliente-Servidor_ProyectoFinal,academico,4530.0,0,0.0
Punchzin/EasyProg,academico,4023.0,0,0.0
Gianfranco05/Tesis_SiemInteligenteMachineLearning_Canciani,academico,1102.0,2,1.8148820326678765
GustavoCarvalho25/CarSalesSystem,academico,1424.0,0,0.0
iPoe/backend-tesis,academico,1506.0,0,0.0
JustBeingLuis/Trabajo-de-grado,academico,2399.0,0,0.0
aremec-tesis/ml-microservice,academico,676.0,0,0.0
RISC-V-Azedinha/GUI-TCC,academico,4492.0,1,0.2226179875333927
aaizaguirre/inmoplus-DEW_cibertec,academico,3026.0,0,0.0
vitor-tardivo/Chatbot-Funil-Simples,academico,13599.0,12,0.8824178248400617
gskumlehn/stock-it,academico,499.0,0,0.0
marodrigues412/ampara-tcc,academico,6204.0,0,0.0
danielbulacio/Proyecto-TP-Final-INTRO,academico,4713.0,1,0.21217907914279652
anajulialeite/Cardapio_Online_TCC_II,academico,7297.0,0,0.0
tesis-bachiller-edson-chavez/tesis_bachiller_backend_multimodular,academico,15022.0,0,0.0
CamilaListon/bibliotecapessoal2.0,academico,3046.0,0,0.0
pacdouglas/TCC-GoTorcidaAndroid,academico,12491.0,0,0.0
ezequielluge/proyecto_CTD_DH,academico,2198.0,10,4.549590536851683
LethalCode23/SweetNestApp,academico,3071.0,0,0.0
FabricioColedani/SGB_DB,academico,2187.0,3,1.3717421124828533
ErickLuiscb/Erick-TCC-MindUp,academico,9079.0,1,0.11014428901861438
pedroinaciop/monitoramento-alimentar-api,academico,2412.0,0,0.0
ETEC-de-Guaianazes/Cronos,academico,18689.0,34,1.819251966397346
